event_id,user_id,event_name,platform,device_type,timestamp
f4ce8c78-7f0f-4af8-b968-da1a1206ce3b,c2f8662f-7396-45d9-bef4-d6631297f66a,PageView,android,phone,2025-05-21 10:32:24.617246
a7b77d0b-900a-4820-8025-f737ba23434f,c2f8662f-7396-45d9-bef4-d6631297f66a,Download,android,phone,2025-05-21 11:17:24.617246
5b5ab03c-f511-4eb5-b28f-904537968939,e1fbe053-72b3-49ae-9951-abcba08fd041,PageView,ios,phone,2025-03-12 03:48:50.617246
59846db0-42b0-4ee8-bdab-d69cea78d100,e1fbe053-72b3-49ae-9951-abcba08fd041,Download,ios,phone,2025-03-12 04:12:50.617246
30006140-a830-41b0-871c-2977c73faf50,e082cc39-2d1e-4a7e-bc80-6be5b18ebb36,PageView,android,phone,2025-05-19 06:21:39.617246
d74cacbe-adb7-4b81-9602-d08f87c793be,e082cc39-2d1e-4a7e-bc80-6be5b18ebb36,Download,android,phone,2025-05-19 06:55:39.617246
d756c950-be74-4005-99d1-cb956003d7b7,e082cc39-2d1e-4a7e-bc80-6be5b18ebb36,Install,android,phone,2025-05-19 08:13:39.617246
580978d6-28ac-4994-b32f-611af8c59dfa,b166bb2b-3a9a-45d7-ac3a-30815e6799f2,PageView,android,phone,2025-06-18 04:06:04.617246
3008ca12-0802-4938-a2d4-441ebd156520,b166bb2b-3a9a-45d7-ac3a-30815e6799f2,Download,android,phone,2025-06-18 04:12:04.617246
1fa1549b-c32e-455b-8e70-9c8f2330922b,b166bb2b-3a9a-45d7-ac3a-30815e6799f2,Install,android,phone,2025-06-18 05:34:04.617246
ee1a550a-45f0-4d56-b67b-dcace6e3a16a,b9e9e767-301f-48f0-b816-3dca3ea61f22,PageView,ios,tablet,2025-05-28 10:45:08.617246
cf06e97c-f75c-4ad2-b387-e006c61bd3ff,5244dfe7-3bc6-40f3-bb5a-ef16a7e9e583,PageView,ios,tablet,2025-05-06 06:08:16.617246
9a5fd052-a4d1-4411-b9e3-9487456ff0f7,5244dfe7-3bc6-40f3-bb5a-ef16a7e9e583,Download,ios,tablet,2025-05-06 06:33:16.617246
4c890c30-f8ff-44f5-9780-d177866beaf8,c11ab71b-d349-493a-94ea-e2f57567d3c4,PageView,android,phone,2025-04-14 05:25:31.617246
cc13b13e-3b55-470a-bb76-0431c4d71363,8dcca7e3-5075-463a-b07e-770842a4f3f6,PageView,ios,tablet,2025-05-05 17:06:53.617246
d3ec0df5-f538-490a-8da2-328749e4de8d,5b167fcd-e722-44d0-8129-9eb0c6a77820,PageView,android,phone,2025-02-28 11:03:12.617246
603d912c-0cde-48f5-b068-292a8f93a63b,95a70e71-e535-418e-a33f-fa1605561379,PageView,android,phone,2025-07-24 08:57:19.617246
557cd3cf-5db6-4a22-8ee1-c0b48cd88cbc,95a70e71-e535-418e-a33f-fa1605561379,Download,android,phone,2025-07-24 09:57:19.617246
4c17ca24-415c-4563-94e0-4a90abce714a,78b3bb9e-2a76-47a3-8a15-5779ed22e56e,PageView,android,phone,2025-04-19 03:32:26.617246
776f18d5-c94f-4a42-b586-f549caf2a934,98164f77-7ad6-4cf6-837f-8b9cbd1c5261,PageView,android,tablet,2025-05-04 06:29:12.617246
2f03a58e-e53a-4423-8823-3e71a5a2b21d,98164f77-7ad6-4cf6-837f-8b9cbd1c5261,Download,android,tablet,2025-05-04 07:29:12.617246
d4c1c8c7-b991-4795-9ccc-dca3afaa686f,98164f77-7ad6-4cf6-837f-8b9cbd1c5261,Install,android,tablet,2025-05-04 07:31:12.617246
5949501f-adbb-4285-88ec-341993ec8fcd,2b553ff0-8b96-4465-a4a9-09dfd9f8d27e,PageView,ios,tablet,2025-08-14 11:06:36.617246
6cc8fc7d-d032-4b4d-8b85-72c9fa8fd6ef,2b553ff0-8b96-4465-a4a9-09dfd9f8d27e,Download,ios,tablet,2025-08-14 11:44:36.617246
ce3f7a37-9b0b-4ac7-a95a-1858a90971e9,2b553ff0-8b96-4465-a4a9-09dfd9f8d27e,Install,ios,tablet,2025-08-14 11:28:36.617246
